GENIE3_links,PIDC_links,GRNBOOST2_links,phase_synchrony_links
CMTM5_TYROBP,C1orf162_LGALS3,C1orf162_CD1C,CD72_CD79A
CDA_FCRLA,AQP3_KLRG1,FCGR3A_FCN1,GP1BA_XCL2
AKR1C3_XCL2,CLEC10A_GSN,MAP3K7CL_SDPR,AP001189.4_PTGDR
GNG11_MAP3K7CL,S100A8_TUBB1,CLIC3_LY6G6F,HIST1H2AC_TSC22D1
AIF1_XCL2,GP1BA_HLA-DMB,CD9_LST1,GP9_XCL1
ARPC1B_LINC00926,CLDN5_MAL,GSTP1_LGALS2,CLDN5_JAKMIP1
CLEC10A_PTGDR,LDLRAP1_S100A12,CLEC10A_LINC00926,PKIG_PTGDR
SEPT5_TREML1,CLDN5_LAT2,IL32_PRSS23,FCRLA_XCL2
GSTP1_ITGA2B,CD2_KLRG1,GIMAP5_KLRB1,CD160_CD19
CD9_XCL1,AC147651.3_CD160,CMTM5_TYROBP,HLA-DOB_LY6G6F
C1orf162_PRR5,FCGR2B_PTCRA,CD1C_LINC00926,CLIC3_XCL2
CEBPB_PKIG,C2orf88_GZMA,HVCN1_RP11-367G6.3,RP11-367G6.3_SNX29P2
CTSW_RP11-367G6.3,CD2_LDLRAP1,CD79A_RP11-367G6.3,PTCRA_TREML1
CCL3_SEPT5,CD1C_HLA-DOB,GPR56_XCL2,PTGDR_SPON2
GRN_ZAP70,CD1C_SPARC,CLIC3_P2RX5,CLEC10A_FCER1A
RGS18_SPARC,MAFB_TNFRSF1B,F13A1_FCER1G,ADAM28_SEPT5
ASGR1_HAVCR2,HLA-DOB_SPARC,CD247_LINC00926,HLA-DOB_P2RX5
GSTP1_LGALS2,MAL_PTCRA,GZMH_XCL2,FCRL6_GP1BA
BLNK_KLRC1,AQP3_ARPC5L,ITGA2B_PTGDR,CMTM5_PTGDR
ITGA2B_PTGDR,LDLRAP1_MAL,CD247_TYROBP,PNOC_S100A12
LDLRAP1_MAL,GZMK_KLRC1,GPR56_MAL,RP11-367G6.3_TCL1A
CD247_JAKMIP1,AC147651.3_ARPC5L,ITGA2B_SNCA,LINC00926_RAMP1
FCRLA_LINC00926,MAP3K7CL_TMEM40,CD79A_P2RX5,CMTM5_F13A1
PHACTR1_TUBB1,ID2_S100A12,HLA-DQB1_LGALS2,ENHO_FCER1A
CD1C_SNCA,AQP3_PLA2G12A,BLNK_PPBP,ITGA2B_LINC00926
FCGR3A_MS4A6A,PTCRA_SPIB,NPC2_XCL2,P2RX5_SNX29P2
MYL9_TPM1,CLDN5_SPIB,MFSD1_SPON2,PRF1_RP11-367G6.3
ASGR1_CD9,GSN_PTGDR,C2orf88_HOPX,HOPX_P2RX5
AP001189.4_SERPINF1,AQP3_CLEC1B,RAMP1_SERPINF1,CD79A_ITGA2B
CD160_GZMK,ARPC5L_GZMK,CMTM5_FCER1G,PLEKHF1_RAMP1
CMTM5_F13A1,CLDN5_FCGR2B,ODC1_PLEKHF1,GPR56_LY6G6F
COTL1_SDPR,HLA-DMA_MPP1,F13A1_TYROBP,HLA-DOB_XCL1
SMIM14_SNX29P2,FCRL6_RAMP1,ARHGAP24_PTGDR,FCRL6_ZAP70
GNLY_MYL9,AP001189.4_TCL1A,C2orf88_KLRC1,FCRLA_LY6G6F
SDPR_TPM1,KLRB1_TSC22D1,IL1B_LGALS2,AP001189.4_CMTM5
MZB1_PLEKHF1,KLRB1_PTCRA,CD2_CLEC1B,GZMH_XCL1
AP001189.4_ITGA2B,PGRMC1_SWAP70,CD9_FCER1A,CD79A_PLEKHF1
LAMTOR1_TTC38,AC147651.3_CLEC1B,CD19_PPBP,CLU_TREML1
FCGR3A_LDLRAP1,JAKMIP1_TSC22D1,AP001189.4_PTGDR,FGFBP2_PRSS23
ASGR1_MS4A6A,MMD_SWAP70,CTSS_FCGRT,CD79A_RP11-367G6.3
NRGN_TREML1,JAKMIP1_S100A8,CA2_HIST1H2AC,RAMP1_RP11-367G6.3
GNG11_LY6G6F,IGLL5_RP11-367G6.3,PTPRCAP_S100A11,CD72_S1PR5
DYNLL1_ENHO,ARPC5L_GAS2L1,HLA-DMA_HLA-DPB1,KIAA0125_RP11-367G6.3
PLEKHF1_RP11-367G6.3,SWAP70_TSC22D1,HLA-DMA_HLA-DRB1,CD160_NCR3
EFHD2_SAMD3,CEBPB_HLA-DMA,FCER1G_S100A6,LINC00926_PKIG
FERMT3_ITGA2B,CD19_HOPX,LY6G6F_XCL2,KIAA0125_PNOC
CA2_SNX29P2,PLEKHF1_TTC38,BLNK_RP11-367G6.3,PRSS23_RAMP1
KIAA0125_PNOC,LGALS3_PDIA3,AP001189.4_SERPINF1,CD9_S1PR5
LY6G6F_XCL2,GAS2L1_GIMAP5,CD1C_SNCA,FCER1A_LGALS1
AKR1C3_RAMP1,GPX1_HLA-DRB1,C2orf88_P2RX5,AKR1C3_GP1BA
LINC00926_PLEKHF1,CD2_TSC22D1,ASGR1_MS4A6A,AP001189.4_LY6G6F
CD9_COTL1,CMTM5_IL1B,HOPX_PLEKHF1,ADAM28_JAKMIP1
GZMH_MARCH2,CD72_TTC38,CD1C_XCL1,CMTM5_FCRL6
CLU_SPARC,CCL3_TUBB1,ENHO_XCL1,CD79A_LY6G6F
HLA-DMA_HLA-DRB1,JAKMIP1_PTCRA,CST3_IFITM3,F13A1_GP1BA
CMTM5_SPARC,CD1C_MFSD1,GNLY_PF4,ENHO_SERPINF1
CA2_PLA2G12A,CLEC1B_S100A12,CMTM5_LST1,GP9_TMEM40
MPP1_PKIG,CLDN5_JAKMIP1,ACRBP_KLRC1,AP001189.4_XCL1
SPON2_XCL2,CLDN5_KLRB1,TREML1_XCL1,GP1BA_PTGDR
ARHGAP24_TCL1A,PARVB_PTGDR,IFI30_PRSS23,GP9_PTCRA
CLIC3_LYAR,CLDN5_LDLRAP1,EAF2_XCL2,AP001189.4_CD72
PRSS23_XCL1,ARPC5L_HIST1H2AC,FCER1A_XCL2,ADAM28_GP9
IGLL5_P2RX5,HLA-DMB_IL32,FGFBP2_XCL2,GZMH_LY6G6F
HLA-DQB1_LGALS2,JAKMIP1_PGRMC1,APOBEC3A_S100A8,FCRLA_RP11-367G6.3
FCGRT_FCN1,PTCRA_SWAP70,CST3_GP1BA,TCL1A_XCL1
CEBPB_PGRMC1,CLDN5_TSC22D1,HIST1H2AC_PPBP,CLDN5_CMTM5
CD37_SAMD3,ALDH2_GNG11,RP11-367G6.3_SERPINF1,CD72_PKIG
LAMTOR1_SEPT5,CLDN5_SWAP70,AQP3_NCR3,CD1C_FCER1G
FCER1A_ITGA2B,CMTM5_EAF2,GSN_LINC00926,AKR1C3_RAMP1
H2AFY_PGRMC1,HLA-DMB_RGS18,LST1_S100A6,P2RX5_PRF1
FCER1A_SERPINF1,AKR1C3_RAMP1,AP001189.4_MZB1,KLRC1_PNOC
HLA-DPB1_SPIB,CYBA_UBB,PHACTR1_XCL1,GPR56_XCL1
CD1C_SERPINF1,AQP3_CD160,F13A1_S100A6,ADAM28_GPR56
AP001189.4_GP9,KLRB1_LDLRAP1,CD19_CLEC1B,ADAM28_LINC00926
GPR56_TIGIT,EAF2_IL1B,IFI30_PLEKHF1,CD72_SNX29P2
APOBEC3A_S100A8,FCGR2B_LDLRAP1,HOPX_RP11-367G6.3,GZMK_KLRC1
GZMA_PTPRCAP,PRR5_SNCA,FCGR2B_FCRL6,F13A1_SPARC
C5orf56_CLIC3,LAT2_S100A12,MYL9_RP11-367G6.3,FCRLA_LINC00926
GPR56_MAL,PGRMC1_PRR5,ACRBP_CLEC1B,AKR1C3_CMTM5
CST7_S1PR5,FOLR3_TUBB1,CLIC3_XCL2,CLU_HIST1H2AC
CTSS_FCGR3A,KLRC1_PLA2G12A,AKR1C3_P2RX5,ENHO_MZB1
FCER1A_XCL2,NCR3_S100A12,FCGR3A_MS4A6A,PLEKHF1_S1PR5
ADAM28_F13A1,ACRBP_ARPC5L,HLA-DPA1_HLA-DRB1,ADAM28_RP11-367G6.3
LY6G6F_SEPT5,CLEC1B_GAS2L1,HLA-DMB_PKIG,PLEKHF1_TIGIT
P2RX5_S1PR5,CLDN5_MMD,AP001189.4_CD72,CD160_CD72
ADAM28_LY6G6F,CLDN5_LYAR,LAMTOR1_LINC00926,LY6G6F_PKIG
FERMT3_GP9,PGRMC1_SPIB,GNG11_PRSS23,CLU_NRGN
GNG11_SEPT5,CLEC1B_GZMK,GSN_PTGDR,AP001189.4_P2RX5
GPX1_TPM4,HLA-DMB_LST1,FOLR3_PRSS23,HLA-DOB_RP11-367G6.3
CLEC10A_FCER1A,PTPRCAP_SDPR,PDIA3_PRSS23,PTGDR_S1PR5
FCER1A_XCL1,PLBD1_SMCO4,ITGA2B_PRSS23,FCER1A_FCER1G
CDA_SPARC,ARPC5L_KLRC1,ALDH2_FCRL6,FCER1G_LST1
HLA-DQB1_ZAP70,PLEKHF1_PRF1,FCGR3A_GSTP1,CD19_P2RX5
C5orf56_S100A12,GAS2L1_KLRG1,ARHGAP24_PRF1,ADAM28_GZMH
MZB1_S1PR5,C1orf162_HLA-DPA1,AP001189.4_FCER1A,CLDN5_MAL
MYL9_S1PR5,KLRC1_MAL,C2orf88_CTSS,CD79A_PRSS23
HLA-DPB1_IGSF6,LDLRAP1_SPIB,MAP3K7CL_PTGDR,PLEKHF1_PRF1
