GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
HLA-DPA1_HLA-DRB5,RPL13A_RPS5,C12orf75_LINC00926,CD8A_CD8B
CD247_TYROBP,CD40_TYROBP,CCL5_CD79B,FCER2_LINC00926
CXCR4_TYROBP,CTSS_PDLIM1,CD247_LTB,PDLIM1_VPREB3
S100A6_S100A8,C12orf75_MS4A1,APOBEC3G_PDLIM1,FCRL6_KIAA0125
HLA-DOB_PKIG,PKIG_TCL1A,AC092580.4_LTB,FGFBP2_SAMD3
PSAP_TIGIT,LYZ_RPS15A,RPL10A_RPS15A,CD79A_TCL1A
KIAA0125_TSPAN13,RPL13A_RPLP2,KLRG1_LYAR,CD8B_GZMK
AIF1_RPLP2,HLA-B_HLA-C,RPL30_RPS25,PNOC_TSPAN13
FCER2_HLA-DOB,HLA-DPA1_HLA-DRB5,PTPRCAP_TIGIT,GZMA_NCR3
FGFBP2_HLA-DOB,EEF1A1_TPT1,FCRL6_GZMH,HLA-DOB_PKIG
GPX1_S100A9,HLA-DQA2_LAG3,CD2_SPIB,CST7_MATK
C12orf75_TCL1A,RPL13_RPL23A,LGALS2_RPL23A,FCER2_VPREB3
FCRLA_LINC00926,HLA-DMA_HLA-DPB1,KLRG1_NCR3,CD79A_VPREB3
LCK_LTB,FCRL6_LYZ,S100A6_S100A8,PDLIM1_TCL1A
CD68_RPS15A,CTSS_FCER1G,CD8A_LAG3,FGFBP2_GZMH
FCER2_FCRLA,GZMA_KIAA0125,SAMD3_VPREB3,FGFBP2_GZMM
C12orf75_MS4A1,RPLP2_RPS18,CD8B_KLRG1,GZMH_VPREB3
SAMD3_TSPAN13,PDLIM1_TYROBP,FCRL6_SNX2,FCER2_GZMM
CHST12_OAZ1,CST7_NKG7,CCL4_CST7,CD79A_SAMD3
CD8A_HLA-DOB,FTH1_RPL13,FCRLA_P2RX5,GZMM_KIAA0125
CD14_SPIB,RPS14_RPS27,RPL27A_RPS18,PKIG_TIGIT
GZMM_PKIG,LGALS1_S100A6,HLA-DQB1_SMIM14,BLK_C12orf75
FCRL6_PTPRCAP,GZMM_RPS3,GZMM_VPREB3,FCER2_FGFBP2
SAMD3_TCL1A,LYZ_RPL32,APOBEC3G_HLA-DQB1,CD79A_LINC00926
CD37_PDLIM1,KLRG1_LAG3,CD2_CD3E,FCER2_HLA-DOB
KLRG1_NCR3,LGALS3_S100A6,CCR7_IRF8,GZMH_PKIG
LTB_SPIB,AIF1_B2M,S100A4_S100A6,FCRLA_GZMK
HLA-DPA1_HLA-DQA1,RPL13A_RPS15A,RPL35A_RPLP0,FCRLA_LAG3
HLA-DPB1_HLA-DQA2,MS4A1_TCL1A,BANK1_GNG7,GZMM_VPREB3
RPS27A_SH2D1A,RPS12_RPS18,LINC00926_TCL1A,FCER2_MATK
IL32_LGALS1,RPL3_RPS3,FGFBP2_HLA-DQA2,CD79A_FCER2
HLA-DOB_S100A4,CTSS_LYZ,CHST12_SMIM14,MATK_TCL1A
CD3E_IL32,FTL_RPL18A,HLA-DQA1_HLA-DQB1,GZMH_TCL1A
MALAT1_MATK,IL32_LGALS1,AC092580.4_CD3D,CD8B_GZMA
CD8B_GZMK,CHST12_LYZ,CCR7_CD2,FCRLA_TIGIT
B2M_EAF2,CD79B_GZMA,CD8B_IL7R,CD8A_FCRLA
PRF1_TCL1A,B2M_CYBA,APOBEC3G_SMIM14,AC092580.4_CD8B
CXCR4_S100A6,CD8B_NCR3,RPL10A_RPL3,CST7_HOPX
NPC2_SH2D2A,LGALS1_S100A4,CD72_FCRLA,GZMM_LINC00926
PDLIM1_TYROBP,ISG20_S100A4,CD2_KLRG1,C12orf75_TCL1A
RPL10A_SH2D2A,GZMA_HLA-DQB1,CD40_LTB,CST7_P2RX5
FTH1_RPS18,HLA-DRA_S100A9,LINC00926_MS4A1,PRF1_TSPAN13
CST7_NKG7,HLA-A_LAG3,CD79A_FCRLA,GZMA_MATK
CD74_DUSP2,PDLIM1_S100A6,RPL18A_RPS14,TIGIT_TSPAN13
EEF1A1_TPT1,CD72_S100A8,HLA-B_HLA-C,LINC00926_PDLIM1
CD247_LYZ,RPL32_RPLP2,CD79A_LINC00926,CD8A_HOPX
CDA_NCR3,FTL_S100A4,AC092580.4_LCK,BLK_P2RX5
S100A8_TALDO1,RPL10_RPS18,LYAR_NCR3,FCRLA_NCR3
RPL13_RPS6,LGALS1_MALAT1,FGFBP2_HLA-DOB,PDLIM1_PKIG
HLA-C_SNX2,HLA-DMA_HLA-DRA,IL7R_NCR3,CD8A_KLRG1
GZMH_LST1,EAF2_TYROBP,FCRLA_TCL1A,GZMA_PNOC
ISG20_S100A4,RPS27_RPS3A,GZMK_SH2D2A,GZMA_LAG3
CYBA_VPREB3,NCF2_RPS25,C12orf75_MS4A1,MS4A1_TSPAN13
KIAA0125_LAG3,LTB_LYZ,CD2_NCR3,CST7_PNOC
PFN1_PNOC,RPL21_RPS27,APOBEC3G_FCRL6,BLK_CD8B
