GENIE3_links,GRNBOOST2_links,PIDC_links,phase_synchrony_links
CD79A_HLA-DQA1,HLA-DQB1_HLA-DRB1,CD8A_RARRES3,CFP_MS4A6A
CCL5_CD8A,CD3D_CD8B,EEF1A1_RPSA,LGALS2_LGALS3
CD74_HLA-DPB1,LGALS1_S100A11,CD99_SH2D2A,CST7_GZMM
CD74_HLA-DRB5,CD74_GZMA,CD8A_LYAR,KLRG1_MATK
RPL23A_RPS27,CD3E_CD68,CD8B_LDHB,CFD_HLA-DRA
HLA-A_RPS12,CEBPD_LGALS2,HLA-C_RPL3,CD74_HLA-DPB1
CD68_LGALS3,MATK_NKG7,HLA-A_HLA-C,CD8B_CST7
CD14_TYROBP,PTPRCAP_TIGIT,LCK_S100A8,BRI3_FCN1
CDA_LGALS3,CHST12_HLA-DPA1,KLRG1_LYAR,LAG3_MS4A6A
FCER1G_SERPINA1,CDA_TYMP,AP1S2_APOBEC3G,CD8B_MATK
GZMM_TCL1A,MS4A1_RPS23,DUSP2_GZMM,CD14_S100A9
CFP_HLA-DRB1,LGALS1_LGALS2,FCRLA_HVCN1,CD14_NCF2
APOBEC3G_RPL5,CDA_SERPINA1,CD8A_CD8B,FGFBP2_GZMA
CD79A_RPS27,CD74_HLA-DPB1,IL7R_NOSIP,MATK_PRF1
BRI3_CFD,CD68_LST1,CHST12_TIGIT,AIF1_BRI3
RPL10_RPS11,BLVRB_RPS5,DUSP2_SAMD3,CEBPD_CFP
HLA-DQA2_SPI1,CFD_CST3,LAG3_SH2D2A,CD68_MS4A6A
CD3D_GZMK,AP1S2_TIGIT,CD3D_IL32,BRI3_HLA-DRA
AIF1_CST3,FCN1_S100A11,CD99_GZMK,CD74_CST3
RPL32_RPSA,CCL4_GRN,CST7_FCER2,CD247_FGFBP2
RPL13_SH2D1A,CD68_RPS15A,EEF1A1_RPS5,CCL4_CD8B
RPS6_SH2D1A,FCER1G_RPL13A,CD247_LCK,GZMK_SH2D2A
CD68_FCN1,TYMP_TYROBP,GZMK_NOSIP,CFP_HLA-DPB1
CTSS_NKG7,SPI1_TYROBP,CD8A_NCR3,BRI3_LGALS2
CST3_RPL31,PRF1_TCL1A,CD8A_CD99,CFD_NCF2
CD68_HLA-DRB1,FCER2_TCL1A,RPS28_RPS6,GZMH_PRF1
LINC00926_PFN1,APOBEC3G_CD74,CYB561A3_MARCH1,GZMM_SAMD3
MALAT1_MS4A1,CST3_RPS25,CD2_LDHB,LGALS3_S100A11
CDA_LST1,CD2_GZMA,MARCH1_SPIB,GZMA_GZMH
BLK_CD247,CD14_FCER1G,LAG3_NOSIP,BLVRB_CDA
FCRLA_MATK,GZMM_TCL1A,RPL35A_RPSA,CD8A_CST7
HLA-C_PYCARD,GZMH_LST1,MS4A1_RPS3A,AC092580.4_GZMA
COTL1_FGFBP2,FCRL6_RPS3A,LAG3_NCR3,CD2_CD3D
BRI3_CFP,CDA_TYROBP,CCL4_TSPAN13,LGALS3_MS4A6A
MS4A6A_S100A8,GZMH_TCL1A,CD14_HCST,CCL4_FGFBP2
AIF1_CD14,BLVRB_S100A11,LAG3_LYAR,CST3_MS4A6A
CD72_RPS20,HLA-DRA_HLA-DRB5,CD2_CD3E,BRI3_CST3
HLA-DOB_RPL31,HLA-DQA2_SPI1,LAG3_RARRES3,FCER1G_LGALS3
IL7R_LAG3,FCRL6_HLA-DRB1,RPL27A_RPS28,BLVRB_LGALS3
CDA_LGALS2,B2M_TCL1A,RPL21_RPS27A,CFD_LGALS1
CCL5_GZMH,HLA-DMB_SAMD3,CD72_PKIG,GZMA_SAMD3
AIF1_CFP,RPS18_RPS6,CD99_LAG3,APMAP_SAMD3
LST1_TYROBP,RPL13A_RPLP2,ARPC5L_NOSIP,FCRL6_SAMD3
